Name,Squad
Yan Gomes,BIG AND SMALL
Kendrys Morales,BIG AND SMALL
Jose Altuve,BIG AND SMALL
Matt Chapman,BIG AND SMALL
Francisco Lindor,BIG AND SMALL
Gleyber Torres,BIG AND SMALL
Luke Voit,BIG AND SMALL
Justin Upton,BIG AND SMALL
Mitch Haniger,BIG AND SMALL
Whit Merrifield,BIG AND SMALL
Stephen Piscotty,BIG AND SMALL
Melky Cabrera,BIG AND SMALL
Shohei Ohtani,BIG AND SMALL
Justin Verlander,BIG AND SMALL
Mike Leake,BIG AND SMALL
Shane Bieber,BIG AND SMALL
Edwin Jackson,BIG AND SMALL
Carlos Rodon,BIG AND SMALL
Alex Cobb,BIG AND SMALL
Blake Treinen,BIG AND SMALL
Jose Alvarado,BIG AND SMALL
Ryan Pressly,BIG AND SMALL
Jean Segura,BIG AND SMALL
Tyler Skaggs,BIG AND SMALL
Lucas Giolito,BIG AND SMALL
Aaron Judge,BIG AND SMALL
Jonathan Lucroy,BEANTOWN ALL THE WAY DOWN
Justin Smoak,BEANTOWN ALL THE WAY DOWN
Jonathan Schoop,BEANTOWN ALL THE WAY DOWN
Mike Moustakas,BEANTOWN ALL THE WAY DOWN
Manny Machado,BEANTOWN ALL THE WAY DOWN
Jed Lowrie,BEANTOWN ALL THE WAY DOWN
Trey Mancini,BEANTOWN ALL THE WAY DOWN
Andrew Benintendi,BEANTOWN ALL THE WAY DOWN
Michael Brantley,BEANTOWN ALL THE WAY DOWN
Jurickson Profar,BEANTOWN ALL THE WAY DOWN
Denard Span,BEANTOWN ALL THE WAY DOWN
Billy McKinney,BEANTOWN ALL THE WAY DOWN
C.J. Cron,BEANTOWN ALL THE WAY DOWN
James Paxton,BEANTOWN ALL THE WAY DOWN
Rick Porcello,BEANTOWN ALL THE WAY DOWN
Kevin Gausman,BEANTOWN ALL THE WAY DOWN
Danny Duffy,BEANTOWN ALL THE WAY DOWN
Michael Fulmer,BEANTOWN ALL THE WAY DOWN
Matthew Boyd,BEANTOWN ALL THE WAY DOWN
Edwin Diaz,BEANTOWN ALL THE WAY DOWN
Brad Hand,BEANTOWN ALL THE WAY DOWN
David Robertson,BEANTOWN ALL THE WAY DOWN
Chris Sale,BEANTOWN ALL THE WAY DOWN
David Price,BEANTOWN ALL THE WAY DOWN
Khris Davis,BEANTOWN ALL THE WAY DOWN
Marcus Stroman,BEANTOWN ALL THE WAY DOWN
Omar Narvaez,DPR CORREA
Matt Olson,DPR CORREA
Marwin Gonzalez,DPR CORREA
Miguel Andujar,DPR CORREA
David Fletcher,DPR CORREA
Carlos Correa,DPR CORREA
Greg Bird,DPR CORREA
J.D. Martinez,DPR CORREA
Josh Reddick,DPR CORREA
Teoscar Hernandez,DPR CORREA
Jake Bauers,DPR CORREA
Steve Pearce,DPR CORREA
Yandy Diaz,DPR CORREA
Jordan Zimmermann,DPR CORREA
Dallas Keuchel,DPR CORREA
Charlie Morton,DPR CORREA
Trevor Cahill,DPR CORREA
Marco Gonzales,DPR CORREA
Tyler Glasnow,DPR CORREA
Brad Peacock,DPR CORREA
Chad Green,DPR CORREA
Collin McHugh,DPR CORREA
Lance McCullers Jr.,DPR CORREA
Nomar Mazara,DPR CORREA
Vladimir Guerrero Jr.,DPR CORREA
Gary Sanchez,DPR CORREA
Salvador Perez,DIRTY WATER
Yonder Alonso,DIRTY WATER
Rougned Odor,DIRTY WATER
Jose Ramirez,DIRTY WATER
Xander Bogaerts,DIRTY WATER
Andrelton Simmons,DIRTY WATER
Alex Bregman,DIRTY WATER
Aaron Hicks,DIRTY WATER
Adam Jones,DIRTY WATER
Kole Calhoun,DIRTY WATER
Joey Wendle,DIRTY WATER
Randal Grichuk,DIRTY WATER
Robinson Cano,DIRTY WATER
Roberto Osuna,DIRTY WATER
Corey Kluber,DIRTY WATER
Luis Severino,DIRTY WATER
Masahiro Tanaka,DIRTY WATER
Eduardo Rodriguez,DIRTY WATER
Chris Archer,DIRTY WATER
Craig Kimbrel,DIRTY WATER
Hector Rondon,DIRTY WATER
Jose Leclerc,DIRTY WATER
